case,a,b,true_retention,lower_retention,upper_retention,status
2721,11.77292208631633,0.3309238294358046,0.31079862746880604,0.31000780783703163,0.3173843267419127,underresolved
2722,5.947274138405534,0.048659497179906065,0.0466113571710922,0.0,0.13820093003425493,underresolved
2723,11.418797311522246,4.839209448756744,0.9681502341929517,0.9679514975568033,0.9682520441669009,resolved
2724,0.3932633544738087,5.467798905997675,0.048219986449843454,0.04111758234489234,0.05530090702866441,underresolved
2725,0.057095353348372374,1.312317289271257,0.0001473203779777595,0.0,1.0,indeterminate
2726,16.882499959182176,0.5286178470759495,0.4648906251239837,0.463809553534013,0.46682909153596214,underresolved
2727,9.56862764653716,0.21365846726882334,0.20556562932847433,0.2016310400816805,0.2188885731771705,underresolved
2728,0.22952442224210814,0.6892985481717566,0.006353793512064721,0.0,0.05313358536501733,underresolved
2729,0.048338147616955644,1.1457433460657278,8.479587479794054e-05,0.0,1.0,indeterminate
2730,6.859660532681346,0.8149666340080983,0.6121272052109538,0.6114144425594257,0.6128179505662734,underresolved
2731,3.397723278336154,1.1538121473624492,0.6671452860643634,0.6665192376718123,0.6674038961481259,underresolved
2732,6.883776884205309,5.19538524219377,0.9516914738874425,0.9514788757330727,0.9517874080184674,resolved
2733,0.11319251891653408,3.3110786986430165,0.0013620862893550581,0.0,1.0,indeterminate
2734,10.38455383912982,0.1747610892774317,0.16978486533730275,0.1448705692375285,0.1730800816625777,underresolved
2735,1.5698964905880042,1.3864805775487052,0.48661712450707445,0.48617933974769906,0.4872975155333732,underresolved
2736,0.2102945879115002,0.08121657267928908,0.000705522596580489,0.0,0.8558381778764086,underresolved
2737,0.0603630240744626,26.689203799535314,0.00021859437999788663,0.0,1.0,indeterminate
2738,0.053533156111634915,19.799807863363846,0.00015256366690000525,0.0,1.0,indeterminate
2739,5.713104823427917,5.351477033826753,0.939480913280401,0.9393950344567978,0.9397106428637537,resolved
2740,0.15188111218085265,3.3494297694033004,0.003244242957554095,0.0,0.1098973093363939,underresolved
2741,1.8307634954361027,5.447909661950797,0.6648340688462845,0.6646354733334884,0.665257571416026,underresolved
2742,5.659008618553624,0.7230664203113255,0.5595285774226836,0.5587178373231065,0.5604489219413118,underresolved
2743,0.43285949615229735,9.858022118732974,0.06236488783889322,0.054715593961578914,0.06617561265373136,underresolved
2744,0.05444777635972494,0.4293608494088067,6.340074135962938e-05,0.0,1.0,indeterminate
2745,0.035450886204600504,0.11721261173133667,5.1769551493032645e-06,0.0,1.0,indeterminate
2746,0.6175481364155155,0.5278252829196517,0.06771304795142916,0.062316470448853675,0.07026539664497089,underresolved
2747,7.680096110670234,0.15682738850118821,0.15107548757255826,0.14713520188839943,0.17748301162060565,underresolved
2748,0.05835307292867803,0.7341571642689904,0.00011698989525913369,0.0,1.0,indeterminate
2749,0.06180518795091673,0.5484570350292325,0.00011288275439338757,0.0,1.0,indeterminate
2750,0.22558949267788284,20.330915349090418,0.0106437735008954,0.0,0.02671477475984739,underresolved
2751,0.11809059767586033,0.4199855512734715,0.0006245729870383356,0.0,0.6409022719441786,underresolved
2752,7.218163556766775,0.10196752604160185,0.0985895818808595,0.06556179546647509,0.13957891186190052,underresolved
2753,0.04401911348894909,2.428107365540041,7.863960937188069e-05,0.0,1.0,indeterminate
2754,12.203852594318795,8.32271590759945,0.982942469866513,0.9828082620980357,0.9830897893529625,resolved
2755,1.7286618342577527,0.04272021369353794,0.027681556092414936,0.0,0.08841158615521524,underresolved
2756,15.462670689774537,1.861949987702338,0.8754835861450246,0.8753001033211741,0.8757660702070429,underresolved
