tau,a,b,true_peak,measured_peak,energy,retention
0.004742419852602448,0.06886522963442762,0.07073266152489557,14.914888121109806,12.710622532410316,0.5647409697936054,0.8522103839599252
0.004591980128368685,0.0677641507610675,0.06961294385721761,15.15967881201346,12.854587948229938,0.5559801614104539,0.8479459299654273
0.004446312674691089,0.06668067692136222,0.06851095163105822,15.408487131602385,12.998224094708316,0.5473552591641541,0.8435756206103657
0.004305266104917106,0.06561452663029053,0.06742640424775742,15.661379019231532,13.141429543173258,0.5388641547472037,0.8390978551145541
0.004168693834703355,0.06456542290346556,0.06635902555061006,15.918421496485884,13.284098986044516,0.5305047725582077,0.8345110719035229
0.0040364539296760486,0.06353309318517436,0.06530854375454814,16.179682684942616,13.426123216997604,0.5222750691945074,0.8298137533619512
0.003908408957924021,0.06251726927756858,0.06427469137693691,16.445231824224674,13.567389120203629,0.5141730329526844,0.825004430780852
0.0037844258471709316,0.061517687270986804,0.06325720516946577,16.715139290350752,13.707779669385836,0.506196683336809,0.8200816894956423
0.0036643757464783332,0.06053408747539136,0.062255826051118186,16.989476614386355,13.847173937451515,0.49834407057432234,0.8150441742111114
0.0035481338923357532,0.059566214352901034,0.06127029904220183,17.268316501401053,13.985447117473127,0.49061327513942254,0.809890594508065
0.0034355794789987463,0.05861381645140287,0.06030037319942386,17.551732849736776,14.122470555804252,0.4830024072838504,0.8046197305251286
0.0033265955329400436,0.05767664633922506,0.05934580155199327,17.839800770592472,14.258111798124167,0.47550960657495006,0.7992304388077898
0.0032210687912834347,0.056754460540854715,0.058406341038735377,18.132596607930058,14.392234649208511,0.46813304144089724,0.7937216583152935
0.0031188895840939352,0.05584701947368306,0.05748175244620124,18.430197958707215,14.524699247222863,0.4608709087229815,0.7880924165744391
0.003019951720402016,0.054954087385762455,0.05657180034775734,18.732683693442127,14.655362153329602,0.4537214332348361,0.7823418359676942
0.0029241523778433336,0.054075432294558065,0.05567625304363902,19.040133977115868,14.784076457386893,0.4466828673285021,0.7764691401413307
0.0028313919957993787,0.05321082592667942,0.054794882501953295,19.352630290417707,14.910691900500163,0.43975349046722767,0.7704736605175094
0.0027415741719278835,0.05236004365857503,0.05392746430061531,19.67025545133924,15.035055015161861,0.43293160880489084,0.7643548428924041
