region_zyx,frame,width_cells,reference_grid_peak,base_peak,radial_peak,axial_peak,sampled_peak_ratio,error_tolerance,conditional_status,model_retention_lower,model_retention_upper,false_reassurance_on_grid,false_underresolution_on_grid
32_32_16,laboratory,2.0,1.721638048402617,1.6003151167106617,1.477697680235843,1.5497822520408484,0.9295305236751,0.0001721638048402617,resolved,0.9618743964754937,0.9621816873391377,False,False
32_32_32,laboratory,2.0,1.7910339300139309,1.6209203259352742,1.517723841261389,1.5748998964532002,0.9050193292109584,0.0001791033930013931,resolved,0.9678019494401277,0.9681147107623331,False,False
16_16_16,volume_mean_subtracted,0.5,0.8935461805780662,0.8761201763026911,0.83388913796997,0.8640684007841166,0.9804979253964226,8.935461805780663e-05,resolved,0.9785498240851934,0.9788315250314985,False,False
16_16_32,volume_mean_subtracted,0.5,1.0293299621203895,0.9734894662471185,0.8774872029256259,0.9213977935578374,0.9457506359202434,0.00010293299621203895,resolved,0.9453517241320744,0.9456652510672018,False,False
16_32_16,volume_mean_subtracted,0.5,0.886914252831695,0.8730685320212481,0.8542015189184621,0.8607442856766626,0.9843888845328159,8.86914252831695e-05,resolved,0.9877512090789244,0.9880291520196299,False,False
16_32_32,volume_mean_subtracted,0.5,0.8828176641104165,0.8712777659334773,0.8567108440935011,0.8612673546448041,0.9869283333964918,8.828176641104165e-05,resolved,0.9903331915330309,0.9906090010310007,False,False
32_16_16,volume_mean_subtracted,0.5,0.9429843967872175,0.9244948567563975,0.9099331200009155,0.8921047238031338,0.9803925281332179,9.429843967872175e-05,resolved,0.9822081066590949,0.9824944657019896,False,False
32_16_32,volume_mean_subtracted,0.5,1.2345824789283133,1.227728808840638,1.2017731662679656,1.2234163822881154,0.9944485927796216,0.00012345824789283133,resolved,0.9915299649450834,0.991801395982071,False,False
32_32_16,volume_mean_subtracted,0.5,0.9218978231043095,0.8964765386476405,0.8608427159923099,0.8614846136283894,0.9724250520832475,9.218978231043095e-05,resolved,0.9724595307585111,0.9727522005404621,False,False
32_32_32,volume_mean_subtracted,0.5,1.0481541666626872,0.9945313012501441,0.9085304720424121,0.9393863680793079,0.9488406695140298,0.00010481541666626873,resolved,0.9492103413977693,0.9495222654007478,False,False
16_16_16,volume_mean_subtracted,1.0,0.8935461805780662,0.8232673004095611,0.7317102996813208,0.7885085317672602,0.9213483514382667,8.935461805780663e-05,resolved,0.9447183031568624,0.9450369431158313,False,False
16_16_32,volume_mean_subtracted,1.0,1.0293299621203895,0.8388464464240817,0.7125400546061573,0.7627430644366618,0.8149441649362684,0.00010293299621203895,resolved,0.9093654145737553,0.9097563909385522,True,False
16_32_16,volume_mean_subtracted,1.0,0.886914252831695,0.8435074120780696,0.7972623021596501,0.8126446186249141,0.9510585824784772,8.86914252831695e-05,resolved,0.9680224133077524,0.9683222695951026,False,False
16_32_32,volume_mean_subtracted,1.0,0.8828176641104165,0.8478187031902255,0.8150364293671194,0.8243010524512261,0.9603553912172133,8.828176641104165e-05,resolved,0.9770007602855428,0.9772925394327142,False,False
32_16_16,volume_mean_subtracted,1.0,0.9429843967872175,0.8824422654445508,0.8375940265059885,0.7943085617725255,0.9357973137742938,9.429843967872175e-05,resolved,0.9430645550561674,0.9433990329043758,False,False
32_16_32,volume_mean_subtracted,1.0,1.2345824789283133,1.1958533821092046,1.1335991299390764,1.15264312428806,0.9686298019936848,0.00012345824789283133,resolved,0.9691852294730028,0.9694791731531954,False,False
32_32_16,volume_mean_subtracted,1.0,0.9218978231043095,0.8336005439659763,0.7940066781808485,0.812951914942616,0.904222271790371,9.218978231043095e-05,resolved,0.97493417756336,0.9752438676421433,False,False
32_32_32,volume_mean_subtracted,1.0,1.0481541666626872,0.8649186500153602,0.8046500378207667,0.8177216747697028,0.825182666371735,0.00010481541666626873,resolved,0.9557553370434139,0.9561114182131465,True,False
16_16_16,volume_mean_subtracted,1.5,0.8935461805780662,0.7635187808227873,0.6791000375945142,0.7138176789266283,0.8544816120514783,8.935461805780663e-05,resolved,0.9361451593971681,0.9364993277569228,True,False
16_16_32,volume_mean_subtracted,1.5,1.0293299621203895,0.7442236709845755,0.638113517455225,0.7206893037622096,0.7230175923874756,0.00010293299621203895,resolved,0.9357597950411661,0.936165971647805,True,False
16_32_16,volume_mean_subtracted,1.5,0.886914252831695,0.8109017141998407,0.7680369454584738,0.8119686883169964,0.9142955044535982,8.86914252831695e-05,model_inconsistent,,,False,False
16_32_32,volume_mean_subtracted,1.5,0.8828176641104165,0.8242927165527536,0.7594192008296246,0.7915762089552129,0.9337066418843846,8.828176641104165e-05,resolved,0.9581267603573804,0.958436175039422,False,False
32_16_16,volume_mean_subtracted,1.5,0.9429843967872175,0.8244370286915692,0.7331158175630602,0.6885674688381346,0.8742849102280552,9.429843967872175e-05,underresolved,0.8873217452792211,0.887730769408174,False,False
32_16_32,volume_mean_subtracted,1.5,1.2345824789283133,1.1482795230951235,1.0557829565035586,1.0460383569719631,0.9300954312035065,0.00012345824789283133,resolved,0.937398352605536,0.9377319657763303,False,False
32_32_16,volume_mean_subtracted,1.5,0.9218978231043095,0.8083871791397478,0.7241143581509305,0.7686889162653995,0.8768728582281093,9.218978231043095e-05,resolved,0.9448528733743375,0.9451897660794568,True,False
32_32_32,volume_mean_subtracted,1.5,1.0481541666626872,0.8151766470932243,0.7535813374438145,0.7902150972522879,0.7777259042806068,0.00010481541666626873,resolved,0.9625844631385428,0.9629511324215881,True,False
16_16_16,volume_mean_subtracted,2.0,0.8935461805780662,0.7064338449394892,0.6576979567298756,0.6772374988926628,0.790595785975463,8.935461805780663e-05,resolved,0.9610822681298357,0.9614471622260575,True,False
16_16_32,volume_mean_subtracted,2.0,1.0293299621203895,0.7042486300127442,0.5833098513961544,0.6771071804538412,0.6841816093276957,0.00010293299621203895,resolved,0.9207980640781369,0.9212367669072163,True,False
16_32_16,volume_mean_subtracted,2.0,0.886914252831695,0.7946374704224648,0.7413946416202999,0.8040453798058054,0.8959574929429609,8.86914252831695e-05,model_inconsistent,,,False,False
16_32_32,volume_mean_subtracted,2.0,0.8828176641104165,0.7977158595061472,0.6959388022949888,0.7442256228592077,0.90360205956003,8.828176641104165e-05,resolved,0.9286328971468532,0.9289709027712079,False,False
32_16_16,volume_mean_subtracted,2.0,0.9429843967872175,0.7531887363762113,0.6411496837980668,0.6079666827888075,0.7987287371268846,9.429843967872175e-05,underresolved,0.8553733459023171,0.8558516744448972,False,False
32_16_32,volume_mean_subtracted,2.0,1.2345824789283133,1.0870077439252128,0.9725726303203048,0.9360631234251617,0.8804658760982874,0.00012345824789283133,resolved,0.9039773418983315,0.904363348366315,True,False
32_32_16,volume_mean_subtracted,2.0,0.9218978231043095,0.7725414154088387,0.6538424688621319,0.717895721814568,0.8379902805361418,9.218978231043095e-05,resolved,0.9164384737171947,0.9168085963024276,True,False
32_32_32,volume_mean_subtracted,2.0,1.0481541666626872,0.7922173542747957,0.6926731640198366,0.7442616522189414,0.7558214044000875,0.00010481541666626873,resolved,0.9319638155950973,0.932364031620809,True,False
