radius,total_true,total_filtered,broad_true
2.032357010936221e-05,0.010055700730483225,3.2684657623671835e-06,3.3507902335801606e-06
2.043305638002184e-05,0.01010987214737246,3.286073501813214e-06,3.368841467908664e-06
2.054313247045223e-05,0.010164335390545936,3.3037760969227087e-06,3.3869899470773595e-06
2.065380155810531e-05,0.010219092032058237,3.321574058698053e-06,3.4052361949595048e-06
2.0765066837550406e-05,0.010274143652431868,3.3394679008944795e-06,3.4235807382505387e-06
2.0876931520566607e-05,0.010329491840702937,3.3574581400349183e-06,3.442024106483312e-06
2.0989398836235243e-05,0.010385138194466874,3.3755452954248715e-06,3.4605668320433337e-06
2.1102472031033258e-05,0.010441084319924614,3.3937298891674285e-06,3.47920945018416e-06
2.1216154368926867e-05,0.010497331831928925,3.412012446178327e-06,3.497952499042845e-06
2.133044913146575e-05,0.010553882354030956,3.4303934942011044e-06,3.516796519655465e-06
2.1445359617877945e-05,0.010610737518527197,3.448873563822358e-06,3.5357420559727645e-06
2.156088914516481e-05,0.010667898966506413,3.4674531884870133e-06,3.5547896548758102e-06
2.1677041048196962e-05,0.01072536834789711,3.4861329045137576e-06,3.573939866191817e-06
2.1793818679810446e-05,0.010783147321515061,3.5049132511105048e-06,3.593193242709994e-06
2.1911225410903692e-05,0.010841237555111285,3.523794770389985e-06,3.6125503401975355e-06
2.202926463053456e-05,0.010899640725420006,3.542778007385355e-06,3.63201171741562e-06
2.2147939746018344e-05,0.010958358518207135,3.5618635100659603e-06,3.6515779361355675e-06
2.2267254183026076e-05,0.011017392628318873,3.581051829353141e-06,3.6712495611550483e-06
2.238721138568338e-05,0.01107674475973059,3.6003435191361293e-06,3.6910271603143786e-06
2.250781481667005e-05,0.011136416625596075,3.61973913628807e-06,3.7109113045129422e-06
2.2629067957319764e-05,0.011196409948296826,3.6392392406820477e-06,3.7309025677256267e-06
2.2750974307720715e-05,0.01125672645949183,3.6588443952072785e-06,3.751001527019419e-06
2.2873537386816645e-05,0.011317367900167507,3.6785551657853542e-06,3.771208762570057e-06
2.2996760732508333e-05,0.011378336020687904,3.698372121386563e-06,3.7915248576787697e-06
2.312064790175594e-05,0.011439632580845283,3.7182958340463526e-06,3.8119503987891424e-06
2.3245202470681383e-05,0.011501259349910769,3.7383268788817907e-06,3.832485975504003e-06
2.3370428034671765e-05,0.011563218106685464,3.7584658341081988e-06,3.853132180602471e-06
2.3496328208483096e-05,0.01162551063955175,3.7787132810558365e-06,3.873889610057058e-06
2.3622906626344605e-05,0.011688138746524863,3.7990698041866716e-06,3.8947588630508685e-06
2.3750166942063822e-05,0.01175110423530485,3.819535991111284e-06,3.915740541994921e-06
2.387811282913178e-05,0.01181440892332859,3.8401124326057845e-06,3.936835252545495e-06
2.400674798082923e-05,0.011878054637822294,3.86079972262889e-06,3.958043603621644e-06
2.41360761103332e-05,0.011942043215854223,3.88159845833907e-06,3.979366207422765e-06
2.4266100950824144e-05,0.012006376504387633,3.902509240111773e-06,4.000803679446259e-06
2.4396826255593897e-05,0.012071056360334178,3.923532671556784e-06,4.022356638505331e-06
2.452825579815372e-05,0.012136084650607313,3.944669359535612e-06,4.044025706746814e-06
2.466039337234341e-05,0.012201463252176257,3.965919914179026e-06,4.065811509669142e-06
2.4793242792440745e-05,0.01226719405212008,3.987284948904662e-06,4.087714676140406e-06
2.4926807893271757e-05,0.012333278947682253,4.008765080434755e-06,4.109735838416531e-06
2.506109253032114e-05,0.012399719846325222,4.030360928813896e-06,4.131875632159481e-06
2.5196100579843737e-05,0.01246651866578552,4.0520731174269625e-06,4.154134696455634e-06
2.5331835938976394e-05,0.012533677334129073,4.0739022730171035e-06,4.176513673834234e-06
2.5468302525850393e-05,0.01260119778980681,4.095849025703824e-06,4.199013210285917e-06
2.5605504279704755e-05,0.01266908198171064,4.117914009001209e-06,4.2216339552813996e-06
2.5743445160999653e-05,0.012737331869229556,4.140097859836153e-06,4.244376561790178e-06
2.588212915153093e-05,0.012805949422306225,4.162401218566791e-06,4.267241686299398e-06
2.6021560254544994e-05,0.012874936621493815,4.184824729000964e-06,4.290229988832813e-06
2.6161742494854312e-05,0.01294429545801308,4.2073690384148e-06,4.3133421329698136e-06
2.6302679918953814e-05,0.013014027933809904,4.230034797571429e-06,4.336578785864627e-06
2.6444376595137375e-05,0.013084136061612897,4.252822660739723e-06,4.359940618265517e-06
2.658683661361546e-05,0.013154621864991545,4.275733285713207e-06,4.383428304534185e-06
2.6730064086633088e-05,0.013225487378414533,4.298767333829037e-06,4.4070425226652124e-06
2.6874063148588755e-05,0.013296734647308536,4.321925469987124e-06,4.430783954305674e-06
2.7018837956153445e-05,0.01336836572811705,4.3452083626692695e-06,4.454653284774756e-06
