h,chi,s_max,C_max,s_limit,C_limit,relative_C_error
0.009,0.38,2.2289541581348304,0.363720773321673,2.286909344459292,0.36663517113151267,0.007949040461244339
0.009,0.4,2.2095779754912317,0.36499829702271763,2.267158061957531,0.3678765756745755,0.007824033499768124
0.009,0.42,2.191415026291524,0.3661988008303814,2.248648040129095,0.36904284322408243,0.007706537183744033
0.009,0.44,2.174402002321563,0.3673257682590607,2.2313141725283403,0.37013740891834923,0.007596207763773344
0.009,0.46,2.158478130830736,0.36838266091192634,2.215093526573474,0.3711636810745567,0.007492705521669141
0.009,0.48,2.143584088774718,0.36937290107693815,2.199925367008736,0.3721250246474356,0.007395696038192789
0.009,0.5,2.129663300443881,0.37029985621466494,2.1857511752934666,0.3730247465337424,0.007304851338679197
0.009,0.52,2.1166608779336915,0.37116682533929385,2.1725146637018007,0.3738660827176098,0.007219850912110526
0.009,0.54,2.104524250140006,0.3719770272635072,2.1601617831639635,0.37465218722279053,0.007140382601563577
0.009,0.56,2.093202789160689,0.37273359065124967,2.1486407241334247,0.37538612281272044,0.007066143366184385
0.009,0.58,2.082648406557099,0.3734395458000347,2.1379019100138135,0.3760708533583809,0.006996839916861841
0.009,0.6,2.072814787219938,0.37409781805640746,2.127897982917,0.3767092377772072,0.006932189229572838
0.009,0.62,2.063657740696582,0.3747112227544131,2.1185837817421582,0.3773040254336431,0.006871918941893207
0.009,0.64,2.0551353912710026,0.3752824615571794,2.1099163127596148,0.3778578528831688,0.006815767639440029
0.009,0.66,2.047207715363938,0.3758141200757138,2.1018547130493923,0.37837324183639576,0.006763485039960826
0.009,0.68,2.039836788495992,0.3763086666363233,2.0943602072805865,0.3788525982177554,0.006714832083505873
0.009,0.7000000000000001,2.0329866935190104,0.3767684520682818,2.087396058423817,0.37929821219397775,0.0066695809375505455
0.009,0.72,2.0266234656501876,0.3771957103860158,2.080927513065701,0.3797122590505147,0.006627514926148659
0.009,0.74,2.020714823134414,0.3775925602447225,2.07492174204366,0.3800968007988886,0.006588428392195533
0.009,0.76,2.0152305072145045,0.37796100705452285,2.0693477771438977,0.3804537884042035,0.006552126501713995
0.009,0.78,2.0101419003094145,0.3783029456455943,2.0641764446082607,0.3807850645293692,0.006518424998739669
0.009,0.8,2.0054220876050795,0.37862016338484633,2.0593802961803185,0.38109236670060526,0.006487149918962154
0.009,0.8200000000000001,2.001045768657591,0.3789143436532871,2.054933538390703,0.3813773308072082,0.006458137269742981
0.009,0.84,1.9969891676809637,0.37918706960199905,2.0508119607399866,0.38164149485712534,0.006431232683555943
0.009,0.86,1.9932300870725377,0.37943982811337695,2.04699286338713,0.38188630291836434,0.00640629105126711
0.009,0.88,1.9897475530814561,0.37967401390279104,2.0434549848956953,0.38211310918451874,0.006383176141046443
0.009,0.9,1.9865220532926213,0.3798909337039937,2.0401784305309727,0.38232318211056365,0.006361760208060341
0.009,0.92,1.9835353274296812,0.38009181048927804,2.03714460154102,0.3825177085724898,0.006341923599471833
0.009,0.9400000000000001,1.9807702957352562,0.380277787682551,2.034336125795039,0.38269779801122583,0.006323554358689698
0.009,0.96,1.9782111667754818,0.38044993333006527,2.0317367900948717,0.3828644865276154,0.006306547832234055
0.009,0.98,1.975842879747336,0.38060924419953546,2.029331474420709,0.3830187409009468,0.006290806282072903
0.009,1.0,1.9736516639888633,0.38075664978375107,2.0271060883210668,0.3831614625086854,0.006276238505796505
0.009,1.02,1.9716245392172396,0.380893016189597,2.025047509610221,0.38329349112964095,0.0062627594665625175
0.009,1.04,1.9697497252609855,0.3810191498976295,2.0231435254938326,0.3834156086168412,0.006250289934353059
0.009,1.06,1.9680157612180618,0.38113580138106534,2.0213827762055407,0.3835285424299133,0.006238756139734236
0.009,1.08,1.9664125292012986,0.38124366857625186,2.019754701203839,0.3836329690198241,0.00622808944100095
0.009,1.1,1.964930188247852,0.381343400199448,2.018249487949395,0.38372951706145014,0.006218226005324512
0.009,1.12,1.9635597733999783,0.3814355989070898,2.0168580232579187,0.3838187705316664,0.00620910650428963
0.009,1.1400000000000001,1.962293078662646,0.3815208242986871,2.0155718472024913,0.38390127163250304,0.006200675824003632
0.009,1.16,1.961122340416039,0.3815995957631382,2.0143831095215523,0.3839775235604687,0.006192882789807563
0.009,1.18,1.9600404003925576,0.38167239517059387,2.0132845284742675,0.38404799312439714,0.0061856799054637035
0.009,1.2,1.9590404724316068,0.3817396694130877,2.0122693520733796,0.3841131132151916,0.006179023106597903
