kind,frame,width,center,region_side,field,value,position,edge
event,laboratory,1.0,"[50, 44, 67]",33,4,1.5087547318148642,"[51, 28, 78]",0
event,laboratory,1.0,"[50, 44, 67]",33,5,1.4837060641001993,"[51, 28, 78]",0
event,laboratory,1.0,"[51, 80, 54]",17,0,1.4769962608428333,"[59, 78, 62]",0
event,laboratory,1.0,"[51, 80, 54]",17,1,1.4418123995841723,"[59, 78, 62]",0
event,laboratory,1.0,"[51, 80, 54]",17,2,1.415188265029982,"[59, 78, 62]",0
event,laboratory,1.0,"[51, 80, 54]",17,3,1.412290750986582,"[59, 78, 62]",0
event,laboratory,1.0,"[51, 80, 54]",17,4,1.418401153001847,"[59, 78, 62]",0
event,laboratory,1.0,"[51, 80, 54]",17,5,1.3878139813546921,"[59, 78, 62]",0
event,laboratory,1.0,"[51, 80, 54]",25,0,1.7151849194025255,"[63, 77, 65]",0
event,laboratory,1.0,"[51, 80, 54]",25,1,1.670355792243465,"[63, 78, 65]",0
event,laboratory,1.0,"[51, 80, 54]",25,2,1.6408259552903346,"[63, 79, 65]",0
event,laboratory,1.0,"[51, 80, 54]",25,3,1.650719146403715,"[63, 78, 65]",0
event,laboratory,1.0,"[51, 80, 54]",25,4,1.6504611705958994,"[63, 79, 65]",0
event,laboratory,1.0,"[51, 80, 54]",25,5,1.6246807418229827,"[63, 79, 66]",0
event,laboratory,1.0,"[51, 80, 54]",33,0,1.7373437282887303,"[65, 82, 63]",2
event,laboratory,1.0,"[51, 80, 54]",33,1,1.680936984028934,"[67, 82, 67]",0
event,laboratory,1.0,"[51, 80, 54]",33,2,1.6408259552903346,"[63, 79, 65]",4
event,laboratory,1.0,"[51, 80, 54]",33,3,1.662717265880378,"[67, 82, 66]",0
event,laboratory,1.0,"[51, 80, 54]",33,4,1.6520984875970028,"[67, 82, 66]",0
event,laboratory,1.0,"[51, 80, 54]",33,5,1.6246807418229827,"[63, 79, 66]",4
central,laboratory,1.5,64_64_64,32,0,1.8677365107695112,"[79, 48, 79]",0
central,laboratory,1.5,64_64_64,32,1,1.7595008519242996,"[79, 48, 79]",0
central,laboratory,1.5,64_64_64,32,2,1.6399387830250935,"[79, 48, 79]",0
central,laboratory,1.5,64_64_64,32,3,1.6753036956047773,"[79, 49, 78]",0
central,laboratory,1.5,64_64_64,32,4,1.6524119370919144,"[79, 48, 79]",0
central,laboratory,1.5,64_64_64,32,5,1.5583398444177419,"[63, 79, 67]",0
central,laboratory,1.5,64_64_64,48,0,2.080310763115811,"[87, 73, 74]",0
central,laboratory,1.5,64_64_64,48,1,1.8911673011343424,"[87, 73, 75]",0
